"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"23/05/2025","225,76","224,92","226,07","224,51","10,24B","0,65%"
"22/05/2025","224,32","224,16","225,47","223,85","12,58B","0,34%"
"21/05/2025","223,55","222,88","224,20","222,65","12,97B","0,39%"
"20/05/2025","222,67","225,79","226,49","222,67","12,26B","-1,06%"
"19/05/2025","225,06","223,93","225,58","223,67","12,01B","0,83%"
"16/05/2025","223,20","223,07","223,22","221,71","12,27B","0,86%"
"15/05/2025","221,29","220,78","222,53","220,78","15,14B","0,46%"
"14/05/2025","220,29","219,09","221,14","219,09","14,30B","0,99%"
"09/05/2025","218,12","218,83","220,05","217,74","9,49B","-0,15%"
"08/05/2025","218,45","221,44","221,74","218,24","12,63B","-1,08%"
"07/05/2025","220,84","220,38","222,52","220,28","12,49B","0,45%"
"06/05/2025","219,85","218,19","220,25","218,19","11,35B","1,25%"
"05/05/2025","217,13","217,24","218,35","216,52","10,92B","0,32%"
"02/05/2025","216,42","215,43","216,56","214,65","11,96B","0,64%"
"30/04/2025","215,04","214,69","215,78","214,31","11,59B","0,38%"
"29/04/2025","214,23","213,70","214,79","213,34","11,55B","0,59%"
"28/04/2025","212,97","212,63","213,81","211,92","10,67B","0,45%"
"25/04/2025","212,02","211,03","212,10","210,70","8,70B","0,86%"
"24/04/2025","210,22","210,97","211,96","209,24","8,13B","0,06%"
"23/04/2025","210,09","209,92","210,77","209,29","11,78B","0,68%"
"22/04/2025","208,67","206,73","208,71","205,49","11,44B","1,22%"
"21/04/2025","206,16","205,30","206,87","204,43","7,45B","0,80%"
"17/04/2025","204,52","202,62","204,59","202,43","8,38B","1,07%"
"16/04/2025","202,35","203,19","204,09","201,25","8,59B","0,12%"
"15/04/2025","202,11","201,35","203,29","200,21","8,23B","1,91%"
"14/04/2025","198,33","194,76","200,60","194,76","8,19B","2,33%"
"11/04/2025","193,81","192,09","194,98","190,64","7,50B","0,46%"
"10/04/2025","192,93","192,40","194,57","191,43","9,57B","3,92%"
"09/04/2025","185,66","186,52","189,41","184,75","7,53B","-0,35%"
"08/04/2025","186,30","186,16","186,76","183,10","9,14B","-7,51%"
"27/03/2025","201,42","200,18","201,42","199,30","7,13B","0,53%"
